planet_name,NOBS,REF,RMS,URL
HD 13908 c,,Moutou 2013,,http://adsabs.harvard.edu/abs/2013arXiv1311.5271M
HD 13931 b,25.0,Howard 2010,3.31,http://adsabs.harvard.edu/abs/2010ApJ...721.1467H
HD 139357 b,42.0,Dollinger 2009,14.14,http://adsabs.harvard.edu/abs/2009A%26A...499..935D
HD 141937 b,81.0,Udry 2002,8.7,http://adsabs.harvard.edu/abs/2002A%26A...390..267U
HD 142 b,53.0,Butler 2006,12.0,http://adsabs.harvard.edu/abs/2006ApJ...646..505B
HD 142 c,,,,
HD 142022 A b,,,,
HD 142415 b,137.0,Mayor 2004,10.6,http://adsabs.harvard.edu/abs/2004A%26A...415..391M
HD 143105 b,,,,
HD 143361 b,12.0,Minniti 2009,3.88,http://adsabs.harvard.edu/abs/2009ApJ...693.1424M
HD 145377 b,64.0,Moutou 2009,15.3,http://adsabs.harvard.edu/abs/2009A%26A...496..513M
HD 145457 b,26.0,Sato 2010,9.7,http://adsabs.harvard.edu/abs/2010PASJ...62.1063S
HD 1461 b,164.0,Rivera 2010,3.43,http://adsabs.harvard.edu/abs/2010ApJ...708.1492R
HD 1461 c,,,,
HD 147018 b,101.0,Segransan 2010,7.39,http://adsabs.harvard.edu/abs/2010A%26A...511A..45S
HD 147018 c,101.0,Segransan 2010,7.39,http://adsabs.harvard.edu/abs/2010A%26A...511A..45S
HD 147513 b,30.0,Mayor 2004,5.7,http://adsabs.harvard.edu/abs/2004A%26A...415..391M
HD 148156 b,42.0,Naef 2010,3.69,http://adsabs.harvard.edu/abs/2010A%26A...523A..15N
HD 148427 b,31.0,Fischer 2009,7.0,http://adsabs.harvard.edu/abs/2009ApJ...703.1545F
HD 149026 b,16.0,Carter 2009,5.72501,http://adsabs.harvard.edu/abs/2009ApJ...696..241C
HD 149143 b,17.0,Fischer 2006,4.72,http://adsabs.harvard.edu/abs/2006ApJ...637.1094F
HD 1502 b,51.0,Johnson 2011,4.7,http://adsabs.harvard.edu/abs/2011ApJS..197...26J
HD 150433 b,,,,
HD 150706 b,,,,
HD 152079 b,,,,
HD 152581 b,24.0,Johnson 2011,4.7,http://adsabs.harvard.edu/abs/2011ApJS..197...26J
HD 153950 b,49.0,Moutou 2009,3.9,http://adsabs.harvard.edu/abs/2009A%26A...496..513M
HD 154088 b,,,,
HD 154345 b,41.0,Wright 2008,2.66176,http://adsabs.harvard.edu/abs/2008ApJ...683L..63W
HD 154672 b,16.0,Lopez-Morales 2008,4.36,http://adsabs.harvard.edu/abs/2008AJ....136.1901L
HD 154857 b,70.0,Wittenmyer 2007,3.2,http://adsabs.harvard.edu/abs/2014arXiv1401.5525W
HD 154857 c,70.0,Wittenmyer 2014,3.2,http://adsabs.harvard.edu/abs/2014arXiv1401.5525W
HD 155358 b,122.0,Robertson 2012,6.14,http://adsabs.harvard.edu/abs/2012ApJ...749...39R
HD 155358 c,122.0,Robert 2012,6.14,http://adsabs.harvard.edu/abs/2012ApJ...749...39R
HD 156279 b,15.0,Diaz 2012,,http://adsabs.harvard.edu/abs/2012A%26A...538A.113D
HD 156411 b,50.0,Naef 2010,2.94,http://adsabs.harvard.edu/abs/2010A%26A...523A..15N
HD 157172 b,,,,
HD 158038 b,24.0,Johnson 2011,6.3,http://adsabs.harvard.edu/abs/2011ApJS..197...26J
HD 159243 b,,Moutou 2013,,http://adsabs.harvard.edu/abs/2013arXiv1311.5271M
